x,z,y
57.089,348.337,0.0
-10.528,316.078,0.0
53.106,159.729,0.0
518.296,305.498,0.0
-100.347,189.042,0.0
13.910,423.475,0.0
311.976,60.152,0.0
544.588,613.578,0.0
125.019,457.329,0.0
23.802,213.333,0.0
471.957,358.819,0.0
138.111,258.370,0.0
52.316,643.260,0.0
115.992,315.309,0.0
113.543,357.020,0.0
371.942,153.962,0.0
343.321,463.876,0.0
-101.001,447.552,0.0
359.601,446.690,0.0
116.758,219.896,0.0
583.758,281.253,0.0
-76.424,231.479,0.0
562.188,318.874,0.0
236.090,775.431,0.0
377.762,426.119,0.0
-132.736,245.399,0.0
504.124,235.944,0.0
540.019,160.466,0.0
-40.465,582.124,0.0
215.153,628.235,0.0
323.782,429.930,0.0
103.436,141.297,0.0
-41.292,206.510,0.0
115.391,579.467,0.0
54.992,584.410,0.0
361.170,251.890,0.0
-23.728,226.221,0.0
331.997,176.338,0.0
25.189,448.653,0.0
201.007,153.359,0.0
-36.411,629.252,0.0
200.154,775.729,0.0
126.375,498.988,0.0
450.429,363.394,0.0
95.107,442.515,0.0
313.744,114.361,0.0
346.352,201.530,0.0
527.237,457.598,0.0
424.467,525.171,0.0
150.628,496.178,0.0
309.695,30.004,0.0
478.646,260.915,0.0
580.534,539.794,0.0
394.103,413.217,0.0
-23.991,542.062,0.0
-62.569,212.451,0.0
529.410,538.066,0.0
261.385,114.258,0.0
101.114,688.352,0.0
351.252,653.347,0.0
213.714,214.884,0.0
198.551,184.240,0.0
170.269,527.699,0.0
128.448,623.181,0.0
258.811,93.439,0.0
428.138,304.126,0.0
323.488,687.384,0.0
278.938,702.617,0.0
338.686,132.315,0.0
297.751,102.156,0.0
502.959,626.855,0.0
413.174,135.986,0.0
-136.594,501.668,0.0
249.343,719.695,0.0
291.796,672.417,0.0
-121.511,264.913,0.0
451.584,386.140,0.0
132.793,160.322,0.0
430.567,345.709,0.0
246.344,175.463,0.0
266.186,665.010,0.0
570.138,221.988,0.0
171.155,378.542,0.0
245.369,765.571,0.0
332.903,299.035,0.0
279.092,451.021,0.0
436.747,596.458,0.0
224.340,341.560,0.0
336.223,67.458,0.0
319.475,603.418,0.0
-79.697,347.747,0.0
361.740,634.062,0.0
10.322,546.957,0.0
481.304,483.737,0.0
583.258,498.307,0.0
165.793,63.951,0.0
93.812,233.820,0.0
78.443,345.778,0.0
88.723,159.605,0.0
252.250,750.483,0.0
231.854,5.611,0.0
57.073,507.142,0.0
-83.698,369.562,0.0
172.950,215.021,0.0
-132.791,282.998,0.0
-27.847,565.987,0.0
157.390,416.460,0.0
461.156,276.608,0.0
69.328,398.788,0.0
270.768,774.975,0.0
299.679,327.685,0.0
-81.042,146.869,0.0
307.596,189.491,0.0
147.113,620.921,0.0
192.314,217.556,0.0
158.090,653.898,0.0
-61.290,355.234,0.0
183.465,53.919,0.0
1.327,212.952,0.0
-145.347,260.470,0.0
227.667,489.471,0.0
202.305,579.167,0.0
160.002,124.918,0.0
554.162,591.717,0.0
391.885,559.081,0.0
88.316,180.003,0.0
87.530,544.930,0.0
509.332,647.861,0.0
548.966,295.016,0.0
433.323,463.425,0.0
479.690,378.740,0.0
182.596,595.293,0.0
-84.272,592.696,0.0
353.950,233.304,0.0
322.387,500.158,0.0
249.444,31.183,0.0
287.348,151.407,0.0
361.613,122.414,0.0
36.559,479.243,0.0
405.623,347.444,0.0
205.192,197.066,0.0
195.492,500.904,0.0
466.251,299.516,0.0
253.649,5.400,0.0
420.162,285.203,0.0
398.584,516.285,0.0
16.491,471.918,0.0
-41.733,519.668,0.0
-29.588,372.843,0.0
333.985,643.014,0.0
90.133,673.164,0.0
297.733,352.147,0.0
315.684,642.916,0.0
239.547,359.449,0.0
518.157,205.953,0.0
333.843,666.466,0.0
373.019,136.148,0.0
353.617,146.463,0.0
345.070,510.761,0.0
493.693,458.935,0.0
-38.110,605.540,0.0
3.898,625.913,0.0
321.497,314.892,0.0
367.771,200.435,0.0
382.223,302.786,0.0
171.489,144.089,0.0
247.426,55.008,0.0
99.499,317.136,0.0
546.582,544.150,0.0
232.548,83.861,0.0
199.890,730.524,0.0
233.268,290.502,0.0
561.016,574.204,0.0
256.599,692.199,0.0
153.817,164.153,0.0
417.465,428.135,0.0
268.167,358.523,0.0
394.293,131.376,0.0
71.360,167.408,0.0
438.932,437.579,0.0
468.863,329.828,0.0
278.041,3.424,0.0
255.472,284.027,0.0
117.641,68.525,0.0
117.862,162.739,0.0
97.827,337.523,0.0
-16.155,415.393,0.0
365.404,539.410,0.0
288.432,536.882,0.0
594.005,258.653,0.0
315.150,289.796,0.0
430.550,377.230,0.0
436.594,630.481,0.0
173.591,674.582,0.0
472.511,228.785,0.0
569.659,298.294,0.0
5.537,233.977,0.0
54.137,215.076,0.0
163.260,759.092,0.0
212.573,649.185,0.0
-69.823,647.089,0.0
223.696,192.704,0.0
506.415,171.258,0.0
163.865,22.265,0.0
351.884,167.980,0.0
188.565,519.028,0.0
139.919,439.155,0.0
-24.628,331.996,0.0
-43.698,149.682,0.0
461.925,254.584,0.0
91.074,513.609,0.0
97.927,254.143,0.0
543.249,474.299,0.0
397.046,381.417,0.0
395.829,323.369,0.0
131.968,278.697,0.0
-23.547,476.350,0.0
4.455,259.279,0.0
298.801,8.565,0.0
549.943,222.918,0.0
36.215,569.111,0.0
8.529,320.886,0.0
234.707,105.243,0.0
157.673,271.265,0.0
198.916,608.220,0.0
225.665,413.520,0.0
-47.695,468.435,0.0
480.183,623.963,0.0
-65.342,516.753,0.0
140.918,647.973,0.0
515.819,520.526,0.0
426.296,151.561,0.0
570.494,270.810,0.0
291.285,755.012,0.0
79.267,146.194,0.0
-7.555,377.421,0.0
299.005,692.635,0.0
306.215,479.427,0.0
198.093,349.828,0.0
247.162,395.170,0.0
46.407,179.348,0.0
5.134,150.970,0.0
315.499,229.234,0.0
138.949,478.344,0.0
-36.157,432.528,0.0
518.378,246.373,0.0
524.136,480.154,0.0
285.413,180.344,0.0
-92.594,164.654,0.0
212.787,494.985,0.0
144.204,221.975,0.0
86.696,272.467,0.0
534.754,518.815,0.0
147.426,143.687,0.0
166.444,257.036,0.0
55.062,138.889,0.0
87.092,125.256,0.0
101.294,159.234,0.0
320.295,449.719,0.0
196.819,168.891,0.0
412.925,453.958,0.0
79.606,198.742,0.0
70.023,232.152,0.0
372.076,650.315,0.0
340.008,599.277,0.0
369.615,323.095,0.0
445.993,504.981,0.0
-19.130,203.308,0.0
389.354,472.462,0.0
246.358,305.393,0.0
467.912,501.269,0.0
198.957,44.990,0.0
261.475,438.326,0.0
177.563,119.474,0.0
130.317,84.464,0.0
361.021,301.778,0.0
-63.182,607.565,0.0
389.730,147.413,0.0
35.313,135.546,0.0
300.087,553.878,0.0
245.210,481.142,0.0
281.561,480.065,0.0
199.875,679.997,0.0
441.029,546.894,0.0
-92.335,426.756,0.0
-87.419,210.618,0.0
-34.024,165.483,0.0
480.758,274.902,0.0
520.926,325.267,0.0
24.614,522.454,0.0
-9.573,499.270,0.0
91.290,397.031,0.0
27.278,242.957,0.0
264.681,214.084,0.0
234.408,639.854,0.0
148.690,716.015,0.0
151.362,184.072,0.0
-114.618,292.417,0.0
593.956,519.034,0.0
249.514,417.787,0.0
475.596,582.953,0.0
314.261,77.095,0.0
-54.210,409.002,0.0
105.604,200.807,0.0
-75.661,201.777,0.0
130.002,417.896,0.0
228.832,575.193,0.0
199.832,420.395,0.0
331.978,81.823,0.0
126.299,183.695,0.0
546.862,450.164,0.0
267.549,393.119,0.0
314.212,207.132,0.0
279.703,611.144,0.0
238.360,440.433,0.0
135.576,396.360,0.0
-94.554,512.643,0.0
-62.665,303.574,0.0
262.952,490.187,0.0
-63.418,584.958,0.0
-0.524,412.977,0.0
160.120,558.770,0.0
448.905,525.003,0.0
152.060,102.165,0.0
182.437,772.985,0.0
-40.628,484.293,0.0
387.281,578.596,0.0
172.867,356.187,0.0
155.334,393.586,0.0
548.241,271.125,0.0
476.477,605.505,0.0
486.915,183.109,0.0
-49.145,369.825,0.0
478.876,445.195,0.0
512.120,541.353,0.0
151.733,522.787,0.0
14.209,135.770,0.0
-63.880,457.809,0.0
187.068,695.545,0.0
64.759,319.979,0.0
471.111,165.437,0.0
438.779,408.253,0.0
368.664,497.936,0.0
563.389,251.975,0.0
145.161,689.627,0.0
545.836,340.739,0.0
201.723,122.601,0.0
196.229,455.204,0.0
290.943,715.714,0.0
71.673,131.507,0.0
498.731,551.726,0.0
90.381,568.895,0.0
34.729,359.333,0.0
326.359,555.065,0.0
545.934,499.037,0.0
-73.304,423.118,0.0
46.152,524.871,0.0
505.461,573.985,0.0
2.857,361.845,0.0
293.774,737.808,0.0
345.666,90.369,0.0
62.754,468.523,0.0
192.603,375.806,0.0
319.174,351.738,0.0
365.525,465.237,0.0
323.875,46.126,0.0
493.771,135.845,0.0
179.746,192.637,0.0
-103.945,256.030,0.0
334.425,154.989,0.0
458.139,606.471,0.0
501.969,486.194,0.0
383.074,339.536,0.0
148.469,372.582,0.0
16.770,498.994,0.0
331.469,373.640,0.0
495.383,602.981,0.0
574.715,482.851,0.0
359.343,672.034,0.0
134.552,594.264,0.0
508.702,469.109,0.0
-76.907,441.639,0.0
-47.298,328.156,0.0
423.818,552.122,0.0
216.651,736.689,0.0
580.353,239.553,0.0
